"Cereal","Meat","Recreation","Timber","Year"
950,630,90,10000,"2010"
938.298861146691,616.988864418267,89.7023146686218,10064.5040345131,"2011"
926.597722293381,603.977728836534,89.4046293372435,10129.0080689848,"2012"
914.896583414613,590.966593254801,89.1069440058653,10193.5121034979,"2013"
903.195444561303,577.955457673068,88.8092586744871,10258.016138011,"2014"
891.494305707994,564.944322091335,88.5115733440984,10322.5201724827,"2015"
879.793166854684,551.933186509602,88.2138880127202,10387.0242069958,"2016"
868.092027975916,538.922050927869,87.916202681342,10451.5282414675,"2017"
856.390889122606,525.910915346136,87.6185173499637,10516.0322759806,"2018"
844.689750269297,512.899779764403,87.3208320185855,10580.5363104937,"2019"
832.988611415988,499.88864418267,87.0231466872073,10645.0403449654,"2020"
830.35109159545,506.126084378899,84.8147962222033,10661.1038305075,"2021"
827.713571774913,512.363524569813,82.6064457562098,10677.1673160082,"2022"
825.076051954376,518.600964760728,80.3980952912058,10693.2308015089,"2023"
822.438532133839,524.838404956957,78.1897448262019,10709.294287051,"2024"
819.801012313302,531.075845147872,75.9813943602084,10725.3577725516,"2025"
817.163492492764,537.313285338786,73.7730438952044,10741.4212580523,"2026"
814.525972672227,543.550725535015,71.5646934302004,10757.4847435944,"2027"
811.88845285169,549.78816572593,69.3563429642069,10773.5482290951,"2028"
809.250933031153,556.025605916845,67.147992499203,10789.6117145958,"2029"
806.613413210616,562.263046113074,64.9396420332095,10805.6752000965,"2030"
805.758009870506,558.573918462723,64.2389171575301,10806.1218371216,"2031"
804.902606530396,554.884790817687,63.5381922818506,10806.5684741466,"2032"
804.047203215746,551.195663172652,62.8374674071607,10807.0151111303,"2033"
803.191799875636,547.506535522302,62.1367425314813,10807.4617481554,"2034"
802.336396535526,543.817407877266,61.4360176558019,10807.9083851805,"2035"
801.480993220875,540.12828023223,60.7352927801225,10808.3550221642,"2036"
800.625589880766,536.43915258188,60.034567904443,10808.8016591892,"2037"
799.770186540656,532.750024936844,59.3338430287636,10809.2482962143,"2038"
798.914783200546,529.060897291808,58.6331181530842,10809.694933198,"2039"
798.059379885896,525.371769641458,57.9323932774048,10810.1415702231,"2040"
